Department,Budgeted Amount,Actual Spending,Variance,Merchant,Description,Date,Category
Finance,9701,9203,-498,Apple Store,online shopping,01 January 2023,Shopping
HR,8726,5921,-2805,Netflix,movie,02 January 2023,Entertainment
Sales,19127,20448,1321,Starbucks,drinks,03 January 2023,Food & Dining
Sales,13403,14716,1313,Apple Store,online shopping,04 January 2023,Shopping
Operations,14801,16427,1626,Shell,fuel purchase,05 January 2023,Fuel
Operations,19485,20301,816,Amazon,online shopping,06 January 2023,Shopping
Operations,9724,9778,54,Starbucks,drinks,07 January 2023,Food & Dining
IT,8185,10649,2464,Amazon,online_shopping,08 January 2023,Shopping
Sales,6117,3566,-2551,Starbucks,food,09 January 2023,Food & Dining
Finance,9938,9869,-69,Shell,fuel purchase,10 January 2023,Fuel
Operations,12122,15101,2979,Flipkart,online_shopping,11 January 2023,Shopping
HR,6932,5365,-1567,Netflix,monthly subscription,12 January 2023,Subscription
Marketing,9928,8042,-1886,McDonald's,drinks,13 January 2023,Food & Dining
Sales,8126,6306,-1820,Uber,ride,14 January 2023,Transportation
Sales,18771,21332,2561,McDonald's,meal,15 January 2023,Food & Dining
Finance,14304,12616,-1688,Uber,ride to work,16 January 2023,Transportation
HR,19031,16343,-2688,Apple Store,app purchase,17 January 2023,Digital Services
Operations,5026,7300,2274,Apple Store,app purchase,18 January 2023,Digital Services
Marketing,10434,11670,1236,Uber,travel,19 January 2023,Transportation
Marketing,12349,12431,82,Netflix,monthly subscription,20 January 2023,Subscription
Finance,6218,3226,-2992,Flipkart,online_shopping,21 January 2023,Shopping
IT,19349,21649,2300,Apple Store,app purchase,22 January 2023,Digital Services
Operations,18541,16040,-2501,Apple Store,app purchase,23 January 2023,Digital Services
Operations,13845,12626,-1219,Uber,travel,24 January 2023,Transportation
IT,13706,12094,-1612,Starbucks,food,25 January 2023,Food & Dining
Operations,8911,10716,1805,Apple Store,online shopping,26 January 2023,Shopping
