Month,Department,Budgeted Amount,Actual Spending,Variance,Merchant,Description,Date,Feature
Dec,Finance,9701,9203,-498,Apple Store,online shopping,2025-11-26,Shopping
Jul,HR,8726,5921,-2805,Netflix,movie,2024-11-05,Entertainment
Jun,Sales,19127,20448,1321,Starbucks,drinks,2023-09-19,Food & Dining
Feb,Sales,13403,14716,1313,Apple Store,online shopping,2025-06-25,Shopping
Aug,Operations,14801,16427,1626,Shell,fuel purchase,2028-04-30,Fuel
Apr,Operations,19485,20301,816,Amazon,online shopping,2025-04-18,Shopping
Jan,Operations,9724,9778,54,Starbucks,drinks,2024-08-21,Food & Dining
Oct,IT,8185,10649,2464,Amazon,online_shopping,2024-02-11,Shopping
Jul,Sales,6117,3566,-2551,Starbucks,food,2023-09-24,Food & Dining
Jun,Finance,9938,9869,-69,Shell,fuel purchase,2024-06-13,Fuel
Aug,Operations,12122,15101,2979,Flipkart,online_shopping,2023-01-28,Shopping
Jul,HR,6932,5365,-1567,Netflix,monthly subscription,2029-03-24,Subscription
Jul,Marketing,9928,8042,-1886,McDonald's,drinks,2024-04-14,Food & Dining
Dec,Sales,8126,6306,-1820,Uber,ride,2024-05-19,Transportation
Dec,Sales,18771,21332,2561,McDonald's,meal,2029-05-12,Food & Dining
Jan,Finance,14304,12616,-1688,Uber,ride to work,2024-08-23,Transportation
Aug,HR,19031,16343,-2688,Apple Store,app purchase,2023-08-01,Digital Services
Mar,Operations,5026,7300,2274,Apple Store,app purchase,2026-11-26,Digital Services
May,Marketing,10434,11670,1236,Uber,travel,2023-04-23,Transportation
Oct,Marketing,12349,12431,82,Netflix,monthly subscription,2029-10-02,Subscription
Oct,Finance,6218,3226,-2992,Flipkart,online_shopping,2026-04-24,Shopping
Sep,IT,19349,21649,2300,Apple Store,app purchase,2023-05-01,Digital Services
Aug,Operations,18541,16040,-2501,Apple Store,app purchase,2023-08-22,Digital Services
Apr,Operations,13845,12626,-1219,Uber,travel,2025-02-10,Transportation
Oct,IT,13706,12094,-1612,Starbucks,food,2029-09-17,Food & Dining
Dec,Operations,8911,10716,1805,Apple Store,online shopping,2028-02-23,Shopping
Feb,Operations,11253,11560,307,Starbucks,coffee,2029-07-24,Food & Dining
Jul,Sales,17317,20087,2770,Apple Store,online shopping,2026-06-04,Shopping
Apr,Finance,9259,7555,-1704,Apple Store,app purchase,2025-02-25,Digital Services
Jun,Sales,13902,12117,-1785,Netflix,movie subscription,2025-09-03,Entertainment
Oct,Operations,12091,10011,-2080,Uber,ride to work,2025-06-08,Transportation
Aug,Finance,18811,20803,1992,Uber,ride,2023-11-20,Transportation
Jul,IT,12443,15147,2704,Starbucks,food,2027-08-14,Food & Dining
Nov,IT,14425,11591,-2834,Netflix,monthly subscription,2025-04-08,Subscription
Dec,IT,17875,15033,-2842,McDonald's,meal,2029-02-19,Food & Dining
May,Operations,9416,7343,-2073,McDonald's,drinks,2026-06-12,Food & Dining
Jul,Marketing,5273,5053,-220,Shell,petrol,2026-06-09,Fuel
Jun,Marketing,11036,12653,1617,Starbucks,food,2028-04-21,Food & Dining
Feb,Marketing,5356,7114,1758,Uber,ride to work,2023-03-01,Transportation
Jul,Marketing,7094,7584,490,Starbucks,drinks,2028-06-13,Food & Dining
Jan,Marketing,19171,16669,-2502,Uber,ride,2026-04-07,Transportation
Mar,IT,7855,10027,2172,Netflix,monthly subscription,2028-12-12,Subscription
May,IT,18543,18425,-118,Starbucks,food,2023-04-04,Food & Dining
Dec,Finance,9546,11349,1803,Uber,ride to work,2024-02-08,Transportation
Jan,Finance,17823,16114,-1709,Flipkart,movie subscription,2027-09-02,Entertainment
Nov,Finance,10959,8005,-2954,Flipkart,online shopping,2023-07-16,Shopping
Dec,Marketing,14305,14187,-118,Netflix,movie,2027-04-14,Entertainment
Jun,Sales,16852,18380,1528,Starbucks,food,2029-07-10,Food & Dining
Dec,Marketing,11601,12362,761,Netflix,movie subscription,2024-08-01,Entertainment
Nov,Marketing,12361,9605,-2756,Shell,petrol,2024-06-23,Fuel
Jun,Finance,15044,15358,314,Starbucks,drinks,2027-08-31,Food & Dining
Oct,IT,18099,17445,-654,Flipkart,online shopping,2023-12-19,Shopping
Apr,Marketing,17761,17012,-749,Amazon,online shopping,2027-12-02,Shopping
Jul,Operations,12481,11014,-1467,McDonald's,meal,2029-10-19,Food & Dining
Sep,Finance,12971,14761,1790,Shell,diesel,2026-06-08,Fuel
Jun,Marketing,12636,12929,293,Apple Store,app purchase,2029-10-16,Digital Services
Sep,Operations,10740,12542,1802,Shell,diesel,2027-03-02,Fuel
May,IT,13929,11880,-2049,Flipkart,online_shopping,2026-08-01,Shopping
Feb,Sales,16406,15931,-475,Netflix,monthly subscription,2028-04-05,Subscription
Oct,Sales,18376,19933,1557,Apple Store,app purchase,2026-01-23,Digital Services
Jan,Sales,19195,19920,725,Uber,ride to work,2023-11-24,Transportation
Dec,Sales,15233,16631,1398,Netflix,movie subscription,2024-12-28,Entertainment
Oct,Operations,7317,5877,-1440,McDonald's,drinks,2027-04-08,Food & Dining
Jan,Finance,6720,5701,-1019,Amazon,online_shopping,2029-06-08,Shopping
Mar,Operations,5481,3300,-2181,Netflix,movie,2023-04-11,Entertainment
Apr,HR,10401,11538,1137,Apple Store,app purchase,2027-11-17,Digital Services
Oct,IT,9634,7981,-1653,Starbucks,drinks,2027-09-04,Food & Dining
Jul,Marketing,19978,19935,-43,Uber,ride to work,2024-08-20,Transportation
Dec,Finance,18120,16678,-1442,Amazon,online_shopping,2029-10-28,Shopping
Mar,Sales,6365,4050,-2315,Uber,ride,2027-02-26,Transportation
Dec,Finance,17726,19338,1612,Amazon,online shopping,2029-07-23,Shopping
Mar,IT,9445,7182,-2263,Uber,ride,2026-11-18,Transportation
Apr,Sales,11326,14041,2715,Starbucks,drinks,2029-10-22,Food & Dining
May,IT,8442,6118,-2324,Starbucks,food,2023-09-01,Food & Dining
Jul,Finance,6112,6493,381,Apple Store,online shopping,2023-02-07,Shopping
Mar,Marketing,13028,12663,-365,Flipkart,online shopping,2028-03-30,Shopping
Aug,HR,12796,10729,-2067,McDonald's,meal,2025-02-12,Food & Dining
Jul,Finance,15977,18871,2894,Flipkart,online_shopping,2028-12-08,Shopping
May,Marketing,5238,5726,488,McDonald's,coffee purchase,2028-06-16,Food & Dining
Nov,Finance,19426,21949,2523,Shell,fuel purchase,2029-02-15,Fuel
Jan,IT,5903,6780,877,Starbucks,food,2026-06-01,Food & Dining
Dec,Finance,19676,17246,-2430,Netflix,movie subscription,2026-02-11,Entertainment
Jan,Finance,7134,9608,2474,Uber,ride,2024-02-29,Transportation
Jul,Marketing,16130,17310,1180,Flipkart,online shopping,2025-01-09,Shopping
Aug,Operations,19842,18193,-1649,Starbucks,drinks,2023-06-20,Food & Dining
May,Operations,9329,6732,-2597,Apple Store,app purchase,2026-12-12,Digital Services
Dec,HR,19092,17313,-1779,Amazon,online_shopping,2025-06-02,Shopping
Aug,Operations,7095,5610,-1485,Starbucks,food,2023-06-27,Food & Dining
Mar,Marketing,19813,21133,1320,Starbucks,drinks,2027-11-12,Food & Dining
Dec,Marketing,11560,14295,2735,Apple Store,online shopping,2026-02-25,Shopping
Apr,IT,7916,6213,-1703,Starbucks,drinks,2029-10-01,Food & Dining
Apr,Finance,13880,12939,-941,Amazon,movie subscription,2029-09-12,Entertainment
Dec,Sales,16172,15119,-1053,Apple Store,online shopping,2028-03-22,Shopping
Jun,HR,12137,11461,-676,Netflix,movie subscription,2026-01-10,Entertainment
Jul,HR,9146,6512,-2634,Starbucks,food,2029-04-29,Food & Dining
Nov,Operations,19146,17949,-1197,McDonald's,drinks,2029-06-07,Food & Dining
Dec,IT,12030,11361,-669,Starbucks,coffee,2029-08-26,Food & Dining
Oct,IT,10852,8946,-1906,Shell,fuel purchase,2026-05-05,Fuel
Oct,Operations,13718,15212,1494,Apple Store,online shopping,2025-06-27,Shopping
May,HR,13109,13298,189,Shell,petrol,2024-12-17,Fuel
May,Operations,19013,18433,-580,Shell,petrol,2025-10-19,Fuel
Dec,HR,11163,8240,-2923,Flipkart,online_shopping,2027-03-30,Shopping
Nov,HR,6891,6937,46,Amazon,online_shopping,2027-08-29,Shopping
Feb,HR,14526,16084,1558,Apple Store,online shopping,2026-01-07,Shopping
Sep,Marketing,9074,10284,1210,Shell,diesel,2026-07-05,Fuel
May,IT,7276,8141,865,Uber,ride to work,2027-04-11,Transportation
Jul,HR,19574,18545,-1029,Starbucks,drinks,2025-02-23,Food & Dining
Dec,HR,18227,18807,580,Starbucks,food,2023-07-28,Food & Dining
Mar,Finance,14448,16267,1819,Flipkart,online shopping,2025-10-29,Shopping
Aug,Marketing,8218,10173,1955,Shell,fuel purchase,2026-01-30,Fuel
Sep,Finance,14371,15168,797,Netflix,movie subscription,2029-01-02,Entertainment
Jul,Finance,13384,14567,1183,Starbucks,drinks,2029-10-14,Food & Dining
Jun,Operations,14517,11837,-2680,Flipkart,online_shopping,2023-04-17,Shopping
Mar,Operations,6106,5245,-861,Apple Store,online shopping,2029-09-09,Shopping
Nov,Marketing,13399,12576,-823,Amazon,online shopping,2023-05-23,Shopping
May,Operations,11751,10603,-1148,Starbucks,drinks,2028-05-30,Food & Dining
Jan,Operations,16776,17577,801,Shell,petrol,2027-10-16,Fuel
Dec,IT,10792,7952,-2840,Flipkart,online shopping,2026-11-03,Shopping
Dec,Marketing,9311,9194,-117,Shell,fuel purchase,2024-01-22,Fuel
Nov,HR,17937,20691,2754,McDonald's,drinks,2023-09-21,Food & Dining
Apr,Operations,15459,13181,-2278,Amazon,movie subscription,2025-07-28,Entertainment
Jun,Marketing,19565,18580,-985,Netflix,movie subscription,2026-11-26,Entertainment
Apr,Finance,13331,11694,-1637,Netflix,movie subscription,2028-11-04,Entertainment
Jul,Operations,19684,17162,-2522,Flipkart,online shopping,2024-07-11,Shopping
Oct,Marketing,19668,21175,1507,Starbucks,coffee,2028-12-25,Food & Dining
Mar,IT,5662,3915,-1747,Starbucks,drinks,2027-07-31,Food & Dining
Apr,Operations,7280,9387,2107,Amazon,online_shopping,2025-05-22,Shopping
Jul,IT,15056,15654,598,Uber,ride to work,2026-03-17,Transportation
May,Sales,8402,10129,1727,Amazon,online_shopping,2026-08-30,Shopping
Mar,Marketing,15982,13192,-2790,Flipkart,online_shopping,2028-08-07,Shopping
Apr,Marketing,7223,4439,-2784,McDonald's,food,2023-09-30,Food & Dining
May,IT,19980,22436,2456,Apple Store,online shopping,2024-03-26,Shopping
Feb,Operations,15912,13325,-2587,Apple Store,online shopping,2023-09-28,Shopping
Jun,HR,14749,12796,-1953,Starbucks,coffee,2029-07-26,Food & Dining
Jan,Operations,13641,11743,-1898,Apple Store,online shopping,2025-09-19,Shopping
Jul,Marketing,11772,11847,75,Amazon,online_shopping,2025-12-18,Shopping
May,IT,15277,14730,-547,Apple Store,app purchase,2025-09-30,Digital Services
Jun,Finance,19716,18358,-1358,Uber,ride,2023-06-11,Transportation
May,Operations,17763,16091,-1672,Starbucks,food,2025-05-06,Food & Dining
Jul,Marketing,12149,12834,685,Uber,ride to work,2027-02-19,Transportation
Aug,Operations,18691,17374,-1317,Netflix,movie subscription,2024-06-15,Entertainment
Feb,Sales,15975,15948,-27,McDonald's,coffee purchase,2028-01-28,Food & Dining
Nov,Operations,5650,8145,2495,Flipkart,movie subscription,2023-10-13,Entertainment
